date	close
2013-12-19-15-47-11	1387486031.85
2013-12-19-15-47-13	1387486033.39
2013-12-19-15-47-14	1387486034.95
2013-12-19-15-47-16	1387486036.49
2013-12-19-15-47-18	1387486038.05
2013-12-19-15-47-19	1387486039.73
2013-12-19-15-47-21	1387486041.54
2013-12-19-15-47-23	1387486043.07
2013-12-19-15-47-24	1387486044.6
2013-12-19-15-47-26	1387486046.14
2013-12-19-15-47-27	1387486047.67
2013-12-19-15-47-29	1387486049.22
2013-12-19-15-47-30	1387486050.78
2013-12-19-15-47-32	1387486052.33
2013-12-19-15-47-34	1387486054.02
2013-12-19-15-47-35	1387486055.56
2013-12-19-15-47-37	1387486057.08
2013-12-19-15-47-38	1387486058.58
2013-12-19-15-47-40	1387486060.1
2013-12-19-15-47-41	1387486061.64
2013-12-19-15-47-43	1387486063.16
2013-12-19-15-47-44	1387486064.72
2013-12-19-15-47-46	1387486066.36
2013-12-19-15-47-47	1387486067.91
2013-12-19-15-47-50	1387486070.91
2013-12-19-15-47-52	1387486072.44
2013-12-19-15-47-53	1387486073.98
2013-12-19-15-47-55	1387486075.53
2013-12-19-15-47-57	1387486077.04
2013-12-19-15-47-58	1387486078.62
2013-12-19-15-48-01	1387486081.62
2013-12-19-15-48-03	1387486083.15
2013-12-19-15-48-04	1387486084.68
2013-12-19-15-48-07	1387486087.69
2013-12-19-15-48-09	1387486089.26
2013-12-19-15-48-10	1387486090.77
2013-12-19-15-48-12	1387486092.56
2013-12-19-15-48-14	1387486094.13
2013-12-19-15-48-17	1387486097.13
2013-12-19-15-48-20	1387486100.13
2013-12-19-15-48-21	1387486101.68
2013-12-19-15-48-23	1387486103.21
2013-12-19-15-48-24	1387486104.93
2013-12-19-15-48-26	1387486106.47
2013-12-19-15-48-29	1387486109.48
2013-12-19-15-48-31	1387486111.03
2013-12-19-15-48-32	1387486112.58
2013-12-19-15-48-34	1387486114.12
2013-12-19-15-48-35	1387486115.68
2013-12-19-15-48-37	1387486117.21
2013-12-19-15-48-38	1387486118.82
2013-12-19-15-48-40	1387486120.75
2013-12-19-15-48-47	1387486127.76
2013-12-19-15-48-49	1387486129.31
2013-12-19-15-48-50	1387486130.87
2013-12-19-15-48-53	1387486133.88
2013-12-19-15-48-55	1387486135.63
2013-12-19-15-48-59	1387486139.01
2013-12-19-15-49-00	1387486140.57
2013-12-19-15-49-02	1387486142.11
2013-12-19-16-10-26	1387487426.72
2013-12-19-16-10-39	1387487439.12
2013-12-19-16-10-46	1387487446.13
2013-12-19-16-10-47	1387487447.69
2013-12-19-16-10-49	1387487449.52
2013-12-19-16-10-51	1387487451.06
2013-12-19-16-10-52	1387487452.63
2013-12-19-16-10-55	1387487455.64
2013-12-19-16-10-57	1387487457.16
2013-12-19-16-10-58	1387487458.67
2013-12-19-16-11-00	1387487460.26
2013-12-19-16-11-01	1387487461.78
2013-12-19-16-11-03	1387487463.32
2013-12-19-16-11-06	1387487466.32
2013-12-19-16-11-07	1387487467.89
2013-12-19-16-11-09	1387487469.44
2013-12-19-16-11-10	1387487471.0
2013-12-19-16-11-12	1387487472.53
2013-12-19-16-11-14	1387487474.1
2013-12-19-16-11-15	1387487475.72
2013-12-19-16-11-18	1387487478.72
2013-12-19-16-11-20	1387487480.27
2013-12-19-16-11-21	1387487481.85
2013-12-19-16-13-49	1387487629.07
2013-12-19-16-13-50	1387487630.62
2013-12-19-16-13-52	1387487632.18
2013-12-19-16-13-53	1387487633.72
2013-12-19-16-13-56	1387487636.73
2013-12-19-16-13-59	1387487639.73
2013-12-19-16-14-01	1387487641.49
2013-12-19-16-14-03	1387487643.04
2013-12-19-16-14-04	1387487644.59
2013-12-19-16-14-06	1387487646.16
2013-12-19-16-14-07	1387487647.7
2013-12-19-16-14-09	1387487649.26
2013-12-19-16-14-10	1387487650.83
2013-12-19-16-14-12	1387487652.4
2013-12-19-16-14-13	1387487653.98
2013-12-19-16-14-15	1387487655.53
2013-12-19-16-14-17	1387487657.09
2013-12-19-16-14-18	1387487658.64
2013-12-19-16-14-20	1387487660.2
2013-12-19-16-14-21	1387487661.78
2013-12-19-16-14-23	1387487663.37
2013-12-19-16-14-25	1387487665.37
2013-12-19-16-14-27	1387487667.08
2013-12-19-16-14-28	1387487668.65
2013-12-19-16-14-30	1387487670.23
2013-12-19-16-14-31	1387487671.79
2013-12-19-16-14-33	1387487673.37
2013-12-19-16-14-34	1387487674.91
2013-12-19-16-14-36	1387487676.46
2013-12-19-16-14-38	1387487678.03
2013-12-19-16-14-39	1387487679.61
2013-12-19-16-14-42	1387487682.61
2013-12-19-16-14-44	1387487684.16
2013-12-19-16-14-47	1387487687.16
2013-12-19-16-14-49	1387487689.05
2013-12-19-16-14-50	1387487690.6
2013-12-19-16-14-53	1387487693.61
2013-12-19-16-14-55	1387487695.14
2013-12-19-16-14-56	1387487696.68
2013-12-19-16-14-58	1387487698.41
2013-12-19-16-14-59	1387487699.97
2013-12-19-16-15-01	1387487701.56
2013-12-19-16-15-05	1387487705.07
2013-12-19-16-15-06	1387487706.78
2013-12-19-16-15-08	1387487708.33
2013-12-19-16-15-09	1387487709.89
2013-12-19-16-15-11	1387487711.48
2013-12-19-16-15-13	1387487713.08
2013-12-19-16-15-14	1387487714.68
2013-12-19-16-15-16	1387487716.23
2013-12-19-16-15-17	1387487717.85
2013-12-19-16-15-19	1387487719.45
2013-12-19-16-15-20	1387487721.0
2013-12-19-16-15-22	1387487722.57
2013-12-19-16-15-24	1387487724.23
2013-12-19-16-15-25	1387487725.94
2013-12-19-16-15-27	1387487727.62
2013-12-19-16-15-29	1387487729.28
2013-12-19-16-15-30	1387487730.86
2013-12-19-16-15-32	1387487732.45
2013-12-19-16-15-34	1387487734.04
2013-12-19-16-15-35	1387487735.61
2013-12-19-16-15-37	1387487737.16
2013-12-19-16-15-38	1387487738.72
2013-12-19-16-15-40	1387487740.33
2013-12-19-16-15-42	1387487742.02
2013-12-19-16-15-43	1387487743.59
2013-12-19-16-15-45	1387487745.14
2013-12-19-16-15-46	1387487746.67
2013-12-19-16-15-48	1387487748.26
2013-12-19-16-15-49	1387487749.84
2013-12-19-16-15-51	1387487751.42
2013-12-19-16-15-52	1387487752.99
2013-12-19-16-15-54	1387487754.72
2013-12-19-16-15-56	1387487756.28
2013-12-19-16-15-57	1387487757.81
2013-12-19-16-15-59	1387487759.36
2013-12-19-16-16-00	1387487760.96
2013-12-19-16-16-02	1387487762.52
2013-12-19-16-16-04	1387487764.07
2013-12-19-16-16-05	1387487765.64
2013-12-19-16-16-07	1387487767.21
2013-12-19-16-16-08	1387487768.75
2013-12-19-16-16-10	1387487770.31
2013-12-19-16-16-13	1387487773.31
2013-12-19-16-16-14	1387487774.96
2013-12-19-16-16-16	1387487776.53
2013-12-19-16-16-18	1387487778.07
