date	close
2013-12-19-23-06-21	1387512381.69
2013-12-19-23-06-23	1387512383.82
2013-12-19-23-06-24	1387512384.69
2013-12-19-23-06-25	1387512385.45
2013-12-19-23-06-26	1387512386.25
2013-12-19-23-06-27	1387512387.0
2013-12-19-23-06-27	1387512387.84
2013-12-19-23-06-34	1387512394.02
2013-12-19-23-06-34	1387512394.85
2013-12-19-23-06-39	1387512399.02
2013-12-19-23-06-44	1387512404.26
2013-12-19-23-06-44	1387512404.93
2013-12-19-23-06-45	1387512405.86
2013-12-19-23-06-46	1387512406.76
2013-12-19-23-06-47	1387512407.42
2013-12-19-23-06-53	1387512413.77
2013-12-19-23-06-54	1387512414.44
2013-12-19-23-06-55	1387512415.42
2013-12-19-23-06-56	1387512416.12
2013-12-19-23-06-56	1387512416.97
2013-12-19-23-06-57	1387512417.82
2013-12-19-23-06-58	1387512418.53
2013-12-19-23-06-59	1387512419.41
2013-12-19-23-07-00	1387512420.1
2013-12-19-23-07-01	1387512421.01
2013-12-19-23-07-01	1387512421.92
2013-12-19-23-07-08	1387512428.02
2013-12-19-23-07-08	1387512428.93
2013-12-19-23-07-09	1387512429.56
2013-12-19-23-07-10	1387512430.5
2013-12-19-23-07-11	1387512431.46
2013-12-19-23-07-12	1387512432.14
2013-12-19-23-07-14	1387512434.46
2013-12-19-23-07-15	1387512435.14
2013-12-19-23-07-16	1387512436.04
2013-12-19-23-07-16	1387512436.7
2013-12-19-23-07-17	1387512437.63
2013-12-19-23-07-19	1387512439.21
2013-12-19-23-07-20	1387512440.78
2013-12-19-23-07-21	1387512441.69
2013-12-19-23-07-22	1387512442.35
2013-12-19-23-07-23	1387512443.3
2013-12-19-23-07-23	1387512443.97
2013-12-19-23-07-24	1387512444.86
2013-12-19-23-07-25	1387512445.58
2013-12-19-23-07-55	1387512475.68
2013-12-19-23-07-57	1387512477.62
2013-12-19-23-08-06	1387512486.64
2013-12-19-23-08-06	1387512486.79
2013-12-19-23-08-08	1387512488.22
2013-12-19-23-08-09	1387512489.8
2013-12-19-23-08-09	1387512489.8
2013-12-19-23-08-11	1387512491.36
2013-12-19-23-08-12	1387512492.81
2013-12-19-23-08-12	1387512492.92
